base,reconciliation,level,nodes,rmsse,mase,rmsse_se
croston_sba,base,bottom,30490,0.9097398997500131,1.6002223462990943,0.002734922270077318
croston_sba,base,state,3,1.1319505186870022,1.2680119595645796,0.11704837020164971
croston_sba,base,store,10,1.1308643781352048,1.3213012007510323,0.13093273792941712
croston_sba,base,store_cat,30,1.0635080652421132,1.187094713744742,0.06512134686217373
croston_sba,base,store_dept,70,1.0270701630595485,1.1359304591210937,0.043595867596414976
croston_sba,base,total,1,1.1825980551449686,1.3002360196168519,
croston_sba,bottom_up,bottom,30490,0.9097398997500131,1.6002223462990943,0.002734922270077318
croston_sba,bottom_up,state,3,1.1390321506973375,1.2606218417380417,0.12227898048160298
croston_sba,bottom_up,store,10,1.1469556266637597,1.3241160843726811,0.1347403943602983
croston_sba,bottom_up,store_cat,30,1.0812900553409364,1.1922273821701226,0.06578178604486457
croston_sba,bottom_up,store_dept,70,1.0476343271330621,1.1471168714176456,0.04450471069307441
croston_sba,bottom_up,total,1,1.1895842801972538,1.2932344852161772,
croston_sba,middle_out,bottom,30490,0.9584243005357271,1.606631636559307,0.0030958538863414707
croston_sba,middle_out,state,3,1.1319505202993676,1.2680119583552885,0.11704837072330924
croston_sba,middle_out,store,10,1.1308643781352066,1.321301200751033,0.13093273792941734
croston_sba,middle_out,store_cat,30,1.1970245381926121,1.342495669848078,0.07941525338750034
croston_sba,middle_out,store_dept,70,1.2119375960047274,1.3902187792298122,0.07832028017219687
croston_sba,middle_out,total,1,1.182598056997856,1.3002360176182295,
croston_sba,ols,bottom,30490,0.9099318726406294,1.619027719118972,0.0027283140812210853
croston_sba,ols,state,3,1.1319508516694115,1.2680113988931474,0.11704864455379363
croston_sba,ols,store,10,1.130865451707823,1.3213004262799857,0.1309332016590214
croston_sba,ols,store_cat,30,1.0635089713337629,1.1870970612099858,0.0651211329128491
croston_sba,ols,store_dept,70,1.027080104449329,1.135923551302408,0.043593953745952596
croston_sba,ols,total,1,1.1825984260683735,1.3002356195209228,
croston_sba,top_down,bottom,30490,0.9606639204702924,1.6057571114763698,0.0031148523057832208
croston_sba,top_down,state,3,1.2252049945143348,1.3816119042605128,0.10340829576465871
croston_sba,top_down,store,10,1.4891356266930225,1.7242561959149518,0.24668660636557543
croston_sba,top_down,store_cat,30,1.3397204613966156,1.4961378404828223,0.1178536961714229
croston_sba,top_down,store_dept,70,1.3061859982381947,1.485791706670952,0.09684186182206628
croston_sba,top_down,total,1,1.1825980551449753,1.3002360196168448,
croston_sba,wls_struct,bottom,30490,0.9097082096245808,1.6125345654822012,0.002729841712798341
croston_sba,wls_struct,state,3,1.1329835593319046,1.2662593247189804,0.1179407241310717
croston_sba,wls_struct,store,10,1.133422650437507,1.3209095980592336,0.13160115241172654
croston_sba,wls_struct,store_cat,30,1.0662327168107983,1.1877005596150951,0.06514103269052732
croston_sba,wls_struct,store_dept,70,1.0312150763702783,1.1357398361182363,0.0435527712457966
croston_sba,wls_struct,total,1,1.1836937116388642,1.2990690955085415,
croston_sba,wls_var,bottom,30490,0.9098299111910316,1.6020836123882272,0.0027342601743566815
croston_sba,wls_var,state,3,1.1358754011998593,1.2611375673795668,0.12130644913998506
croston_sba,wls_var,store,10,1.1414890108112357,1.3213497525814524,0.13442639326613384
croston_sba,wls_var,store_cat,30,1.0740721381470133,1.1875141935252158,0.0658553670633958
croston_sba,wls_var,store_dept,70,1.0413657244601626,1.142446797959253,0.044327277118259296
croston_sba,wls_var,total,1,1.1860222334508892,1.2966806542079534,
gbm,base,bottom,30490,0.9443733514803949,1.91138562069942,0.002654655792514598
gbm,base,state,3,1.635064004848995,2.1645827641102633,0.8791020342991912
gbm,base,store,10,1.5074430168917412,1.772999812220812,0.3090966727045597
gbm,base,store_cat,30,1.0988359032848465,1.2174206950712325,0.06307463432595964
gbm,base,store_dept,70,1.2693115105196169,1.4767338343049505,0.08966901328829481
gbm,base,total,1,1.4163728508797606,1.9184687659167576,
gbm,bottom_up,bottom,30490,0.9443733514803949,1.91138562069942,0.002654655792514598
gbm,bottom_up,state,3,0.6428625986956572,0.7119589651715966,0.07478510864159098
gbm,bottom_up,store,10,0.7604867693360666,0.8829810895059669,0.07507255404695329
gbm,bottom_up,store_cat,30,1.000919592845548,1.1454037774303132,0.07011282534243528
gbm,bottom_up,store_dept,70,1.3893995508722756,1.653417600149594,0.11663568413523948
gbm,bottom_up,total,1,0.4373689664759559,0.4885198068280488,
gbm,middle_out,bottom,30490,0.9621824754033959,1.612592446947705,0.00310371817792006
gbm,middle_out,state,3,0.9807637759853972,1.187849505216944,0.2579565198178573
gbm,middle_out,store,10,1.5074430168917423,1.7729998122208133,0.30909667270455976
gbm,middle_out,store_cat,30,1.3801748756903582,1.6033009389262993,0.13977814838088878
gbm,middle_out,store_dept,70,1.3440722917733705,1.5708311915671216,0.09658963774146748
gbm,middle_out,total,1,0.6420857016287823,0.757164483820007,
gbm,ols,bottom,30490,1.0215438696944639,1.92952131936468,0.003305360919520487
