base,reconciliation,coherent,max_violation
seasonal_naive,base,True,0.0
seasonal_naive,bottom_up,True,0.0
seasonal_naive,top_down,True,0.0
seasonal_naive,middle_out,True,0.0
seasonal_naive,ols,True,0.0
seasonal_naive,wls_struct,True,0.0
seasonal_naive,wls_var,True,0.0
ses,base,False,1231.5296511850074
ses,bottom_up,True,0.0
ses,top_down,True,0.0
ses,middle_out,True,0.0
ses,ols,True,0.0
ses,wls_struct,True,0.0
ses,wls_var,True,0.0
croston_sba,base,False,172.2928185593555
croston_sba,bottom_up,True,0.0
croston_sba,top_down,True,0.0
croston_sba,middle_out,True,0.0
croston_sba,ols,True,0.0
croston_sba,wls_struct,True,0.0
croston_sba,wls_var,True,0.0
gbm,base,False,9623.503829787314
gbm,bottom_up,True,0.0
gbm,top_down,True,0.0
gbm,middle_out,True,0.0
gbm,ols,True,0.0
gbm,wls_struct,True,0.0
gbm,wls_var,True,0.0
